,Experimento,Model,Features,Macro Precisão,Macro Revocação,Macro F1-Measure,Micro Precisão,Micro Revocação,Micro F1-Measure,Tempo
0,TRT15_2G_JT_2017_LSI_200_CorpusCompleto_CV5,Random Forest,LSI_200,0.2691532342792331,0.1588105625563375,0.18864238643403697,0.3092729197121233,0.3174627419319645,0.2977740803273613,0:04:18.216739
1,TRT15_2G_JT_2017_LSI_200_CorpusCompleto_CV5,Multilayer Perceptron,LSI_200,0.3019395171636875,0.17858705578515463,0.20704030622727698,0.3441423383446869,0.3490257260686465,0.32780112633783276,0:16:31.189582
0,TRT15_2G_JT_2017_LSI_200_CorpusCompleto_CV5,Random Forest,LSI_200,0.2691532342792331,0.1588105625563375,0.18864238643403697,0.3092729197121233,0.3174627419319645,0.2977740803273613,0:04:18.216739
1,TRT15_2G_JT_2017_LSI_200_CorpusCompleto_CV5,Multilayer Perceptron,LSI_200,0.3019395171636875,0.17858705578515463,0.20704030622727698,0.3441423383446869,0.3490257260686465,0.32780112633783276,0:16:31.189582
1,TRT13_2G_JT_TF-IDF_CorpusCompleto_CV5,Multinomial Naive Bayes,TF-IDF,0.23171360118882536,0.12497216561416957,0.13928326645465836,0.3245976970794447,0.3381748321796463,0.2957552322590032,0:00:30.636514
2,TRT13_2G_JT_TF-IDF_CorpusCompleto_CV5,Random Forest,TF-IDF,0.25912465826540215,0.13857521548979013,0.17024551705887636,0.3004862765199096,0.2953563472722652,0.2779296537196354,0:13:18.428605
0,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,Multinomial Naive Bayes,LSI_300,0.23171360118882536,0.12497216561416957,0.13928326645465836,0.3245976970794447,0.3381748321796463,0.2957552322590032,0:00:31.986124
1,TRT13_2G_JT_TF-IDF_CorpusCompleto_CV5,Multinomial Naive Bayes,TF-IDF,0.23171360118882536,0.12497216561416957,0.13928326645465836,0.3245976970794447,0.3381748321796463,0.2957552322590032,0:00:30.636514
2,TRT13_2G_JT_TF-IDF_CorpusCompleto_CV5,Random Forest,TF-IDF,0.25912465826540215,0.13857521548979013,0.17024551705887636,0.3004862765199096,0.2953563472722652,0.2779296537196354,0:13:18.428605
0,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,Multinomial Naive Bayes,LSI_300,0.23171360118882536,0.12497216561416957,0.13928326645465836,0.3245976970794447,0.3381748321796463,0.2957552322590032,0:00:31.986124
1,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,Multinomial Naive Bayes,LSI_300,0.23171360118882536,0.12497216561416957,0.13928326645465836,0.3245976970794447,0.3381748321796463,0.2957552322590032,0:00:30.636514
2,TRT13_2G_JT_TF-IDF_CorpusCompleto_CV5,Random Forest,TF-IDF,0.25912465826540215,0.13857521548979013,0.17024551705887636,0.3004862765199096,0.2953563472722652,0.2779296537196354,0:13:18.428605
4,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,Random Forest,LSI_300,0.2804463512491209,0.1546893652125904,0.18582750517810542,0.3148156344885403,0.3142464155964537,0.2976788985967362,0:09:27.747253
5,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,Multilayer Perceptron,LSI_300,0.304437959906514,0.1995921355211052,0.2273034534306892,0.35647127278874474,0.3611613616995829,0.33968723728515027,0:29:14.286827
6,TRT13_2G_JT_LSI_300_CorpusCompleto_CV5,SVM baggin FALTOU!,,,,,,,,
0,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Random Forest,LSI_200,0.2751149035763142,0.1548943767836904,0.18601145435315267,0.31519256459520933,0.3153228579544605,0.29917105160334767,0:07:21.607951
1,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Multilayer Perceptron,LSI_200,0.3273692638880607,0.1912559970294705,0.2220210649956348,0.3665646446637967,0.3654895570140685,0.3411926857712121,0:22:58.877298
0,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Random Forest,LSI_200,0.2751149035763142,0.1548943767836904,0.18601145435315267,0.31519256459520933,0.3153228579544605,0.29917105160334767,0:07:21.607951
1,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Multilayer Perceptron,LSI_200,0.3273692638880607,0.1912559970294705,0.2220210649956348,0.3665646446637967,0.3654895570140685,0.3411926857712121,0:22:58.877298
0,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Random Forest,LSI_200,0.2751149035763142,0.1548943767836904,0.18601145435315267,0.31519256459520933,0.3153228579544605,0.29917105160334767,0:07:21.607951
1,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,Multilayer Perceptron,LSI_200,0.3273692638880607,0.1912559970294705,0.2220210649956348,0.3665646446637967,0.3654895570140685,0.3411926857712121,0:22:58.877298
2,TRT13_2G_JT_LSI_200_CorpusCompleto_CV5,SVM_bagging,LSI_200,0.14985039145859266,0.28898130209018574,0.13726712936078053,0.43881480503212483,0.15415551601955538,0.16416902287448265,5:25:29.863488
0;TRT13_2G_JT_LSI_250_CorpusCompleto_CV5;SVM_bagging;LSI_250;0.15379587153172206;0.3004741834545539;0.14316082695298651;0.4412543873729103;0.15847623603988817;0.16780992749413132;3:17:16.330220
1;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.3273692638880607;0.1912559970294705;0.2220210649956348;0.3665646446637967;0.3654895570140685;0.3411926857712121;0:22:58.877298
2;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.14985039145859266;0.28898130209018574;0.13726712936078053;0.43881480503212483;0.15415551601955538;0.16416902287448265;5:25:29.863488
0;TRT13_2G_JT_LSI_300_CorpusCompleto_CV5;SVM_bagging;LSI_300;0.15569511656570134;0.29912138238579866;0.14525125586687215;0.44947119083303105;0.16166071134899157;0.17252384782649136;3:40:33.253348
1;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.3273692638880607;0.1912559970294705;0.2220210649956348;0.3665646446637967;0.3654895570140685;0.3411926857712121;0:22:58.877298
2;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.14985039145859266;0.28898130209018574;0.13726712936078053;0.43881480503212483;0.15415551601955538;0.16416902287448265;5:25:29.863488
0;TRT13_2G_JT_LSI_350_CorpusCompleto_CV5;SVM_bagging;LSI_350;0.15735544163729026;0.3026577475374425;0.1477376457827995;0.4548628712824576;0.16455365018613483;0.17622169670913135;3:37:41.512479
1;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.3273692638880607;0.1912559970294705;0.2220210649956348;0.3665646446637967;0.3654895570140685;0.3411926857712121;0:22:58.877298
2;TRT13_2G_JT_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.14985039145859266;0.28898130209018574;0.13726712936078053;0.43881480503212483;0.15415551601955538;0.16416902287448265;5:25:29.863488
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
